Account__,Description__,CompanyCode__,Allocable1__,Allocable2__,Allocable3__,Allocable4__,Allocable5__,Group__,Manager__
1680,01030 Petty Cash,2,,,,,,,
1680,01030 Petty Cash,11,,,,,,,
1845,01310 Related Party - A/R - Other,6,,,,,,,
1845,01310 Related Party - A/R - Other,9,,,,,,,
1845,01310 Related Party - A/R - Other,7,,,,,,,
1845,01310 Related Party - A/R - Other,11,,,,,,,
1845,01310 Related Party - A/R - Other,14,,,,,,,
1845,01310 Related Party - A/R - Other,1,,,,,,,
1845,01310 Related Party - A/R - Other,2,,,,,,,
1845,01310 Related Party - A/R - Other,13,,,,,,,
1845,01310 Related Party - A/R - Other,18,,,,,,,
1845,01310 Related Party - A/R - Other,17,,,,,,,
1845,01310 Related Party - A/R - Other,19,,,,,,,
1845,01310 Related Party - A/R - Other,12,,,,,,,
1845,01310 Related Party - A/R - Other,3,,,,,,,
1845,01310 Related Party - A/R - Other,5,,,,,,,
1632,01340 Related Party - AAG,2,,,,,,,
1632,01340 Related Party - AAG,7,,,,,,,
1671,1 PST Expenses QC,12,,,,,,,
1671,1 PST Expenses QC,3,,,,,,,
1671,1 PST Expenses QC,11,,,,,,,
1671,1 PST Expenses QC,2,,,,,,,
1671,1 PST Expenses QC,7,,,,,,,
1671,1 PST Expenses QC,9,,,,,,,
1671,1 PST Expenses QC,18,,,,,,,
1671,1 PST Expenses QC,17,,,,,,,
1671,1 PST Expenses QC,13,,,,,,,
1671,1 PST Expenses QC,19,,,,,,,
1671,1 PST Expenses QC,5,,,,,,,
1671,1 PST Expenses QC,1,,,,,,,
1671,1 PST Expenses QC,6,,,,,,,
1671,1 PST Expenses QC,14,,,,,,,
4490,100-00-000 CAJA,13,,,,,,,
4491,100-01-000 CAJA : CAJA,13,,,,,,,
4492,100-01-001 CAJA : CAJA : CAJA CHICA,13,,,,,,,
1,1000 Checking,1,,,,,,,
1914,1001 Chase MXN Pesos - Mexican Operating Co.,12,,,,,,,
1915,1002 Chase USD - Mexican Operating Co.,12,,,,,,,
1916,1003 Banorte MXC Pesos Payroll - Mexican Operating Co.,12,,,,,,,
1917,1004 Chase MXN Pesos - Mexican Services Co.,13,,,,,,,
1918,1005 Banorte MXC Pesos Payroll - Mexican Services Co.,13,,,,,,,
1929,1006 Cash ING - VISTRA,18,,,,,,,
1935,1007 Cash IXS Intermediate Holdings,1,,,,,,,
3372,101-01-001 CAJA Y BANCOS : CAJA,12,,,,,,,
3373,101-01-002 CAJA Y BANCOS : CAJA CHICA COPORTATIVO,12,,,,,,,
2770,102-00-000 BANCOS,12,,,,,,,
2873,102-01-001 BANCOS : BANORTE/EFECTIVO,12,,,,,,,
2874,102-01-002 BANCOS : CHASE DOLARES,12,,,,,,,
2875,102-01-003 BANCOS : CHASE DOLARES COMPLEM,12,,,,,,,
2876,102-01-004 BANCOS : JP MORGAN MN,12,,,,,,,
4482,103-00-000 BANCOS.,13,,,,,,,
4483,103-01-000 BANCOS. : BANCOS NACIONALES.,13,,,,,,,
4484,103-01-001 BANCOS. : BANCOS NACIONALES. : BANORTE.,13,,,,,,,
445,1030 Petty Cash - Other,2,,,,,,,
1868,1031 Petty Cash-Retail,11,,,,,,,
1947,1032 Ameraguard Rec,19,,,,,,,
1949,1034 Ultimate Linings Rec,19,,,,,,,
1866,1036 Cash - Wells Fargo Huntsville Store,2,,,,,,,
1865,1037 Cash - LX Retail LLC,11,,,,,,,
1843,1038 CASH - LXC USD,9,,,,,,,
1322,1040 Operating Acct - CPC,9,,,,,,,
1323,1041 CASH CIBC - LINE-X Canada Ltd,9,,,,,,,
141,1042 LINE-X Franchising Checking Account,5,,,,,,,
1307,1043 AAG Cash @ PNC,7,,,,,,,
143,1044 Ad Fund Checking Account,3,,,,,,,
1707,1045 CASH CIBC - Anchor Coatings,9,,,,,,,
139,1046 Operating Account,2,,,,,,,
140,1048 Depository Account,2,,,,,,,
1283,1049 LINE-X of Huntsville Checking Account,2,,,,,,,
2877,105-01-000 CLIENTES : CUENTAS POR COBRAR,13,,,,,,,
2877,105-01-000 CLIENTES : CUENTAS POR COBRAR,12,,,,,,,
2879,105-01-001 CLIENTES : CUENTAS POR COBRAR : ALASKA HITCH S.A. DE C.V.,13,,,,,,,
2880,105-01-002 CLIENTES : CUENTAS POR COBRAR : ALEJANDRO PONT GUERRA,12,,,,,,,
2881,105-01-003 CLIENTES : CUENTAS POR COBRAR : ALDO PEREZ DE LA VEGA SERNA,12,,,,,,,
2882,105-01-004 CLIENTES : CUENTAS POR COBRAR : ALVARO GUEVARA RODRIGUEZ,12,,,,,,,
2883,105-01-005 CLIENTES : CUENTAS POR COBRAR : CESAR ALMANZA BENITEZ,12,,,,,,,
2884,105-01-006 CLIENTES : CUENTAS POR COBRAR : CONCEPCION VAZQUEZ GUZMAN,12,,,,,,,
2885,105-01-007 CLIENTES : CUENTAS POR COBRAR : ECONO CLIMAS S.A. DE C.V,12,,,,,,,
2886,105-01-008 CLIENTES : CUENTAS POR COBRAR : ESPECIALIDADES EN TURBOMAQUINARIA S.A. DE C.V.,12,,,,,,,
2887,105-01-009 CLIENTES : CUENTAS POR COBRAR : ETM SERVICIOS INDUSTRIALES S.A. DE C.V.,12,,,,,,,
2888,105-01-010 CLIENTES : CUENTAS POR COBRAR : FABRICACIONES INDUSTRIALES TUMEX S. A. DE C. V.,12,,,,,,,
2889,105-01-011 CLIENTES : CUENTAS POR COBRAR : IMPERMEABILIZANTES Y AISLANTES FALCÓN S.A. DE C.V.,12,,,,,,,
2890,105-01-012 CLIENTES : CUENTAS POR COBRAR : LAMINA Y PLACA COMERCIAL SA DE CV,12,,,,,,,
2891,105-01-013 CLIENTES : CUENTAS POR COBRAR : LUIS ENRIQUE GOMEZ DAVILA,12,,,,,,,
2892,105-01-014 CLIENTES : CUENTAS POR COBRAR : MEGA RECUBRIMIENTOS S.A. DE C.V.,12,,,,,,,
2893,105-01-015 CLIENTES : CUENTAS POR COBRAR : PINTURA Y ENSAMBLES DE MEXICO SA DE CV,12,,,,,,,
2894,105-01-016 CLIENTES : CUENTAS POR COBRAR : POINT BLANK SHOOTING RANGE SYSTEMS S.A.,12,,,,,,,
2895,105-01-017 CLIENTES : CUENTAS POR COBRAR : POWER HIT S.A. DE C.V.,12,,,,,,,
2896,105-01-018 CLIENTES : CUENTAS POR COBRAR : RODOLFO GALILEO VALADEZ,12,,,,,,,
2897,105-01-019 CLIENTES : CUENTAS POR COBRAR : SAUL GRIJALVA JIMENEZ,12,,,,,,,
2898,105-01-020 CLIENTES : CUENTAS POR COBRAR : SELLOQUIN SA DE CV,12,,,,,,,
2899,105-01-021 CLIENTES : CUENTAS POR COBRAR : SUBSTRATE TECHNOLOGY SA DE CV,12,,,,,,,
2900,105-01-022 CLIENTES : CUENTAS POR COBRAR : TRANSPORTADORA DE PROTECCION Y SEGURIDAD S.A. DE C.V.,12,,,,,,,
