VendorNumber__,OrderNumber__,ItemNumber__,Description__,OrderedAmount__,OrderedQuantity__,DeliveredAmount__,DeliveredQuantity__,InvoicedAmount__,InvoicedQuantity__,TaxCode__,CompanyCode__,UnitPrice__,PartNumber__,GLAccount__,CostCenter__,BudgetID__,TaxRate__,ItemCategory__,Location__,Customer__,CustomerId__
V02415,47152,1,frt on local chemical sales,1007.22,,,,0,0,,19,,,1767,,,,,Texas : UL Houston - Distribution,,
V02458,47222,1,7554-06 O-Ring,6.48,6,6.48,6,0,0,,19,1.08,GC2056,110,,,,,Texas : UL OffSite Inventory,AUTONATION INC.,G0410
V02458,47222,2,7554-43 O-Ring,2.08,1,2.08,1,0,0,,19,2.08,GC2060,110,,,,,Texas : UL OffSite Inventory,AUTONATION INC.,G0410
V02458,47222,3,7554-10 O-Ring,17.58,6,17.58,6,0,0,,19,2.93,GC2057,110,,,,,Texas : UL OffSite Inventory,AUTONATION INC.,G0410
V02458,47222,4,7554-16 O-Ring,14.58,6,14.58,6,0,0,,19,2.43,GC2058,110,,,,,Texas : UL OffSite Inventory,AUTONATION INC.,G0410
V02458,47222,5,117-517 Air Cap O-Ring Pk/6,26.22,1,26.22,1,0,0,,19,26.22,G248131,110,,,,,Texas : UL OffSite Inventory,AUTONATION INC.,G0410
V02458,47222,6,755407 O-Ring  110242,16.20,6,16.2,6,0,0,,19,2.70,G110242,110,,,,,Texas : UL OffSite Inventory,AUTONATION INC.,G0410
V02458,47222,7,9936-20F Screw,.51,1,.51,1,0,0,,19,.51,GC2243,110,,,,,Texas : UL OffSite Inventory,AUTONATION INC.,G0410
V02458,47222,8,Kit Filter Gc2496 10 Pack,45.60,1,45.6,1,0,0,,19,45.60,G24R894,110,,,,,Texas : UL OffSite Inventory,AUTONATION INC.,G0410
V02458,47222,9,,14.27,,,,0,0,,19,,,1309,,,,,Texas : UL OffSite Inventory,,
V02445,47228,1,FRT ON UPS ACCOUNT V32385 JAN 5 2019,3.00,,,,0,0,,19,,,1767,,,,,Texas : UL Houston - Distribution,,
V02447,47231,1,ups freight account 246Y0A JAN 5 2019,3.00,,,,0,0,,19,,,1767,,,,,Texas : UL Houston - Distribution,,
V02446,47232,1,UPS FREIGHT ACCOUNT X02188 JAN 5 2019,29.00,,,,0,0,,19,,,1767,,,,,Texas : UL Houston - Distribution,,
V02458,47242,1,AGITATOR SHORT ARM SUBASSEMBLY ,221.66,2,221.66,2,0,0,,19,110.83,G24C860,110,,,,,Texas : UL OffSite Inventory,BUTCH'S OILFIELD SERVICES,G0430
V02458,47242,2,AGITATORL LONG ARM SUBASSESMBLY,266.50,2,266.5,2,0,0,,19,133.25,G24C861,110,,,,,Texas : UL OffSite Inventory,BUTCH'S OILFIELD SERVICES,G0430
V02458,47242,3,,17.37,,,,0,0,,19,,,1309,,,,,Texas : UL OffSite Inventory,BUTCH'S OILFIELD SERVICES,G0430
V02458,47252,1,Guide 192624,22.47,1,22.47,1,0,0,,19,22.47,G192624,110,,,,,Texas : UL OffSite Inventory,CALIFORNIA CUSTOMS,U2762
V02458,47252,2,FILTER 20 MESH,24.71,1,24.71,1,0,0,,19,24.71,G180199,110,,,,,Texas : UL OffSite Inventory,CALIFORNIA CUSTOMS,U2762
V02458,47252,3,PRESURE TRANSDUCER,129.60,1,129.6,1,0,0,,19,129.60,G24K999,110,,,,,Texas : UL OffSite Inventory,CALIFORNIA CUSTOMS,U2762
V02458,47252,4,,93.53,,,,0,0,,19,,,1309,,,,,Texas : UL OffSite Inventory,CALIFORNIA CUSTOMS,U2762
V03102,47289,1,Chevy Silverado 1500 short bed Spray-On BedlinerNo VIN,464.07,1,,,0,0,,2,464.07,National Account,1892,,,,National Accounts,Alabama : Huntsville-Distribution,,
V02669,47318,1,FRT CHARGES FOR PO # 46778,20.18,,,,0,0,,19,,,1767,,,,,Texas : UL Houston - Distribution,,
V02446,47322,1,ups freight Jan 12 2019,139.84,,,,0,0,,19,,,1767,,,,,Texas : UL Houston - Distribution,,
V02445,47323,1,UPS FREIGHT JAN 12 2019,106.14,,,,0,0,,19,,,1767,,,,,Texas : UL Houston - Distribution,,
V02447,47324,1,UPS FREIGHT JAN 12 2019,32.00,,,,0,0,,19,,,1767,,,,,Texas : UL Houston - Distribution,,
