OrderDate__,OrderNumber__,VendorNumber__,OrderedAmount__,DeliveredAmount__,InvoicedAmount__,CompanyCode__
1/2/2019,47152,V02415,1007.22,1007.22,0.00,19
1/7/2019,47222,V02458,143.52,143.52,0.00,19
1/7/2019,47228,V02445,3.00,3.00,0.00,19
1/7/2019,47231,V02447,3.00,3.00,0.00,19
1/7/2019,47232,V02446,29.00,29.00,0.00,19
1/8/2019,47242,V02458,505.53,505.53,0.00,19
1/8/2019,47252,V02458,270.31,270.31,0.00,19
1/10/2019,47289,V03102,464.07,464.07,0.00,2
1/14/2019,47318,V02669,20.18,20.18,0.00,19
1/14/2019,47322,V02446,139.84,139.84,0.00,19
1/14/2019,47323,V02445,106.14,106.14,0.00,19
1/14/2019,47324,V02447,32.00,32.00,0.00,19
1/14/2019,47331,V02458,257.00,257.00,0.00,19
1/15/2019,47357,V00308,42.28,42.28,0.00,2
1/16/2019,47377,V02819,1852.68,1852.68,0.00,19
1/16/2019,47405,V02415,496.50,496.50,0.00,19
1/21/2019,47449,V02447,32.00,32.00,0.00,19
1/21/2019,47450,V02445,29.00,29.00,0.00,19
1/21/2019,47452,V02446,318.87,318.87,0.00,19
1/21/2019,47480,V02669,1648.42,1648.42,0.00,19
1/22/2019,47504,V02563,2889.40,2889.40,0.00,19
1/23/2019,47514,V03242,27.06,27.06,0.00,19
1/23/2019,47522,V03502,72.00,72.00,0.00,19
1/25/2019,47559,V02042,375.00,375.00,0.00,2
1/25/2019,47564,V01002,106.90,106.90,0.00,2
1/28/2019,47605,V02446,219.51,219.51,0.00,19
1/28/2019,47606,V02445,32.00,32.00,0.00,19
1/28/2019,47611,V02458,1226.88,1226.88,0.00,19
1/29/2019,47623,V03646,1173.25,1173.25,0.00,2
2/1/2019,47702,V00181,669.00,669.00,0.00,2
2/1/2019,47711,V02415,1420.27,1420.27,0.00,19
2/4/2019,47725,V02446,153.04,153.04,0.00,19
2/4/2019,47728,V03426,612.00,612.00,0.00,19
2/4/2019,47731,V00426,1768.00,1768.00,0.00,2
2/5/2019,47752,V02810,76.00,76.00,0.00,19
2/5/2019,47756,V02458,230.93,230.93,0.00,19
2/5/2019,47757,V02458,162.19,162.19,0.00,19
2/5/2019,47765,V02458,534.66,534.66,0.00,19
2/5/2019,47773,V02195,54193.56,54193.56,0.00,2
2/7/2019,47808,V02458,1701.22,1701.22,0.00,19
2/7/2019,47826,V03517,313.50,313.50,0.00,2
2/8/2019,47841,V02458,1455.86,1455.86,0.00,19
2/11/2019,47866,V02994,115.85,115.85,0.00,19
2/11/2019,47867,V03978,313.50,313.50,0.00,2
2/11/2019,47875,V03579,313.50,313.50,0.00,2
2/11/2019,47877,V03579,313.50,313.50,0.00,2
2/11/2019,47878,V03579,313.50,313.50,0.00,2
2/11/2019,47879,V03579,313.50,313.50,0.00,2
2/11/2019,47880,V03579,313.50,313.50,0.00,2
2/11/2019,47881,V03579,313.50,313.50,0.00,2
2/11/2019,47882,V03579,313.50,313.50,0.00,2
2/11/2019,47885,V03579,313.50,313.50,0.00,2
2/11/2019,47886,V03579,313.50,313.50,0.00,2
2/11/2019,47890,V02458,118.30,118.30,0.00,19
2/12/2019,47905,V02795,186.31,186.31,0.00,19
2/12/2019,47907,V02791,585.08,585.08,0.00,19
2/14/2019,47941,V03502,72.00,72.00,0.00,19
2/17/2019,47978,V02195,53743.56,53743.56,0.00,2
2/17/2019,47983,V02165,6238.686,6238.686,0.00,18
2/20/2019,48071,V03502,72.00,72.00,0.00,19
2/26/2019,48177,V00463,2486.25,2486.25,0.00,2
2/28/2019,48226,V03291,196.00,196.00,0.00,19
2/28/2019,48237,V02458,102.52,102.52,0.00,19
2/28/2019,48257,V03106,1419.43,1419.43,0.00,19
3/1/2019,48245,V02458,77.93,77.93,0.00,19
3/1/2019,48250,V02594,739.50,739.50,0.00,19
3/4/2019,48269,V03664,313.50,313.50,0.00,2
3/4/2019,48279,V00750,313.50,313.50,0.00,2
3/5/2019,48295,V02458,328048.21,328048.21,0.00,19
3/5/2019,48314,V01503,2683.50,2683.50,0.00,2
3/6/2019,48344,V02458,1252.12,1252.12,0.00,19
3/6/2019,48356,V02458,95.93,95.93,0.00,19
3/7/2019,48375,V02594,35.36,35.36,0.00,19
3/8/2019,48420,V02658,718.30,718.30,0.00,19
3/10/2019,48404,V02243,27.346,27.346,0.00,18
3/14/2019,48496,V00821,3600.00,3600.00,0.00,2
3/15/2019,48523,V03698,251.75,251.75,0.00,2
3/15/2019,48556,V03700,251.75,251.75,0.00,2
3/15/2019,48561,V02229,76.472,76.472,0.00,12
3/15/2019,48564,V02229,139.04,139.04,0.00,12
3/15/2019,48567,V02229,660.438,660.438,0.00,12
