VendorNumber__,OrderNumber__,ItemNumber__,Description__,OrderedAmount__,OrderedQuantity__,DeliveredAmount__,DeliveredQuantity__,InvoicedAmount__,InvoicedQuantity__,TaxCode__,CompanyCode__,UnitPrice__,PartNumber__,GLAccount__,CostCenter__,BudgetID__,TaxRate__
V02415,47152,,frt on local chemical sales,1007.22,,1007.22,,0,0,,19,,,1767,,,
V02458,47222,,,14.27,,14.27,,0,0,,19,,,1309,,,
V02458,47222,2949,7554-06 O-Ring,6.48,6,6.48,6,0,0,,19,,2949,110,,,
V02458,47222,2953,7554-43 O-Ring,2.08,1,2.08,1,0,0,,19,,2953,110,,,
V02458,47222,2950,7554-10 O-Ring,17.58,6,17.58,6,0,0,,19,,2950,110,,,
V02458,47222,2951,7554-16 O-Ring,14.58,6,14.58,6,0,0,,19,,2951,110,,,
V02458,47222,2707,117-517 Air Cap O-Ring Pk/6,26.22,1,26.22,1,0,0,,19,,2707,110,,,
V02458,47222,2238,755407 O-Ring  110242,16.20,6,16.20,6,0,0,,19,,2238,110,,,
V02458,47222,2982,9936-20F Screw,.51,1,.51,1,0,0,,19,,2982,110,,,
V02458,47222,2757,Kit Filter Gc2496 10 Pack,45.60,1,45.60,1,0,0,,19,,2757,110,,,
V02445,47228,,FRT ON UPS ACCOUNT V32385 JAN 5 2019,3.00,,3.00,,0,0,,19,,,1767,,,
V02447,47231,,ups freight account 246Y0A JAN 5 2019,3.00,,3.00,,0,0,,19,,,1767,,,
V02446,47232,,UPS FREIGHT ACCOUNT X02188 JAN 5 2019,29.00,,29.00,,0,0,,19,,,1767,,,
V02458,47242,,,17.37,,17.37,,0,0,,19,,,1309,,,
V02458,47242,22540,AGITATOR SHORT ARM SUBASSEMBLY ,221.66,2,221.66,2,0,0,,19,,22540,110,,,
V02458,47242,22541,AGITATORL LONG ARM SUBASSESMBLY,266.50,2,266.50,2,0,0,,19,,22541,110,,,
V02458,47252,,,93.53,,93.53,,0,0,,19,,,1309,,,
V02458,47252,2530,Guide 192624,22.47,1,22.47,1,0,0,,19,,2530,110,,,
V02458,47252,2493,FILTER 20 MESH,24.71,1,24.71,1,0,0,,19,,2493,110,,,
V02458,47252,10367,PRESURE TRANSDUCER,129.60,1,129.60,1,0,0,,19,,10367,110,,,
V03102,47289,13108,Chevy Silverado 1500 short bed Spray-On BedlinerNo VIN,464.07,1,464.07,1,0,0,,2,,13108,1892,,,
V02669,47318,,FRT CHARGES FOR PO # 46778,20.18,,20.18,,0,0,,19,,,1767,,,
V02446,47322,,ups freight Jan 12 2019,139.84,,139.84,,0,0,,19,,,1767,,,
V02445,47323,,UPS FREIGHT JAN 12 2019,106.14,,106.14,,0,0,,19,,,1767,,,
V02447,47324,,UPS FREIGHT JAN 12 2019,32.00,,32.00,,0,0,,19,,,1767,,,
V02458,47331,,,16.40,,16.40,,0,0,,19,,,1309,,,
V02458,47331,2671,KIT ACC THROAT PUMP BOT. COMPDROP SHIP,240.60,1,240.60,1,0,0,,19,,2671,110,,,
V00308,47357,2167,SHUR-LINE Paint Can Lid - 1 GallonL#335786 ,42.28,10,42.28,10,0,0,,2,,2167,110,,,
V00308,47357,12855,NOTE:  PAID REGINA'S CC,.00,1,.00,1,0,0,,2,,12855,1867,,,
V02819,47377,,rental of manlift used for heater service,-1852.68,,-1852.68,,0,0,,19,,,1285,,,
V02415,47405,,Freight on local chemical sales,496.50,,496.50,,0,0,,19,,,1767,,,
V02447,47449,,UPS FREIGHT WEEK OF JAN 19 2019,32.00,,32.00,,0,0,,19,,,1767,,,
V02445,47450,,UPS FREIGHT WEEK OF JAN 19 2019,29.00,,29.00,,0,0,,19,,,1767,,,
V02446,47452,,UPS FREIGHT WEEK OF JAN 19 2019,318.87,,318.87,,0,0,,19,,,1310,,,
V02669,47480,,SHOP RAGS USED FOR TECH DEP.,696.00,,696.00,,0,0,,19,,,1081,,,
V02669,47480,,,57.42,,57.42,,0,0,,19,,,1140,,,
V02669,47480,21377,BLACK INDUSTRIAL NITRILE GLOVES,895.00,100,895.00,100,0,0,,19,,21377,110,,,
V02563,47504,,,4.50,,4.50,,0,0,,19,,,1767,,,
V02563,47504,17368,STANDARD THREADED CAP:LDPE BLUE 7/8-14STD THRD 0.625 TUBEOD:,2884.90,52500,2884.90,52500,0,0,,19,,17368,110,,,
V03242,47514,,rental of water cooler,-27.06,,-27.06,,0,0,,19,,,1285,,,
V03502,47522,,,72.00,,72.00,,0,0,,19,,,1070,,,
V02042,47559,22568,AutoGear Spray On Bedliner,375.00,1,375.00,1,0,0,,2,,22568,110,,,
V01002,47564,,,106.90,,106.90,,0,0,,2,,,1084,,,
V02446,47605,,UPS FREIGHT WEEK OF JAN 26TH 2019,219.51,,219.51,,0,0,,19,,,1767,,,
V02445,47606,,UPS FREIGHT WEEK OF JAN 26TH 2019,32.00,,32.00,,0,0,,19,,,1767,,,
V02458,47611,,,314.88,,314.88,,0,0,,19,,,1309,,,
V02458,47611,2772,Pump T1,768.00,1,768.00,1,0,0,,19,,2772,110,,,
V02458,47611,2674,Bottle Assy Complete 246995,80.70,1,80.70,1,0,0,,19,,2674,110,,,
V02458,47611,13076,SEAL U-CUP ROD .296/255.79,63.30,2,63.30,2,0,0,,19,,13076,110,,,
